Date,Open,High,Low,Close,Volume,Change
03-Nov-21,391.99,391.99,391.99,391.99,100,5.68
08-Nov-21,385,395,385,388.72,"2,700",-3.27
09-Nov-21,390,394,380,389.65,700,0.93
10-Nov-21,392.96,393.99,389.65,393.23,500,3.58
12-Nov-21,385,390,385,389.54,"1,100",-3.69
15-Nov-21,385,385,385,385,100,-4.54
16-Nov-21,382,382,382,382,100,-3
17-Nov-21,385,390,385,389.2,"1,000",7.2
18-Nov-21,385,385,381,381,400,-8.2
23-Nov-21,379.5,389.95,370,383.94,"1,700",2.94
25-Nov-21,370,394.99,361,379.64,"10,700",-4.3
26-Nov-21,370,390.01,370,383.29,"11,900",3.65
29-Nov-21,377,389.49,370,378.03,"11,200",-5.26
30-Nov-21,374.99,374.99,369.9,369.95,700,-8.08
01-Dec-21,370,370,370,370,200,0.05
02-Dec-21,359.99,370,345.1,350.22,"1,700",-19.78
03-Dec-21,331.05,331.05,331.05,331.05,100,-19.17
06-Dec-21,330,330,330,330,"1,000",-1.05
07-Dec-21,330,344.9,330,340.5,900,10.5
10-Dec-21,330,344.85,330,338.97,"1,100",-1.53
17-Dec-21,335,338,334.95,335.37,800,-3.6
20-Dec-21,333,333,333,333,100,-2.37
21-Dec-21,330,330,330,330,700,-3
23-Dec-21,320,320,320,320,500,-10
28-Dec-21,315,315,315,315,100,-5
29-Dec-21,315,315,315,315,200,0
30-Dec-21,310,310,310,310,300,-5
31-Dec-21,306.21,306.21,306.21,306.21,200,-3.79
03-Jan-22,310.21,310.21,310.21,310.21,100,4
04-Jan-22,315,315,315,315,200,4.79
05-Jan-22,300.01,315,300.01,311,"1,800",-4
06-Jan-22,305.2,323,305.2,323,"1,300",12
10-Jan-22,320,327.89,320,327.89,"3,000",4.89
11-Jan-22,310,327.89,310,315.1,"1,400",-12.79
12-Jan-22,319.5,319.5,300,302,"6,400",-13.1
13-Jan-22,314.98,314.99,309.9,309.9,"2,800",7.9
17-Jan-22,305,305,303,303,600,-6.9
18-Jan-22,303,304.5,299,300,"3,700",-3
19-Jan-22,290.5,290.5,290.25,290.26,300,-9.74
20-Jan-22,289.95,290,289.95,290,"1,200",-0.26
21-Jan-22,300,300,300,300,100,10
25-Jan-22,283,298.9,283,296.45,300,-3.55
26-Jan-22,290,294.95,290,294.95,200,-1.5
28-Jan-22,298.99,298.99,280,283.95,"1,200",-11
02-Feb-22,290,290,279.03,279.03,300,-4.92
03-Feb-22,279,286,279,280,"1,300",0.97
07-Feb-22,0,280,280,280,100,0
08-Feb-22,280.03,280.03,280,280.01,500,0.01
10-Feb-22,279.95,279.99,275.03,275.03,800,-4.98
14-Feb-22,274.9,275,271.01,275,700,-0.03
15-Feb-22,260.05,270.01,260.05,270.01,300,-4.99
16-Feb-22,265,265,261,261.5,"1,000",-8.51
17-Feb-22,274.9,274.9,246.01,259.9,"2,600",-1.6
18-Feb-22,259,267.99,250,252.62,"2,700",-7.28
23-Feb-22,249.95,252.62,249.95,252.62,100,0
24-Feb-22,235.12,235.12,234,234,400,-18.62
25-Feb-22,249,249,234,234,100,0
01-Mar-22,234,234,229,231.11,600,-2.89
02-Mar-22,235,235,231.11,231.11,300,0
